3631.jpg: yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum | earthstar | lemon | lycaenid, lycaenid butterfly | jackfruit, jak, jack | daisy | pot, flowerpot
0591.jpg: wild boar, boar, Sus scrofa | hog, pig, grunter, squealer, Sus scrofa | wombat | armadillo | koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus | ram, tup | curly-coated retriever
4517.jpg: breastplate, aegis, egis | cuirass | stingray | chocolate sauce, chocolate syrup | electric ray, crampfish, numbfish, torpedo | platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus | shield, buckler
0429.jpg: airliner | warplane, military plane | space shuttle | wing | projectile, missile | missile | airship, dirigible
0739.jpg: motor scooter, scooter | moped | plane, carpenter's plane, woodworking plane | neck brace | stretcher | reel | barrow, garden cart, lawn cart, wheelbarrow
4808.jpg: earthstar | sulphur butterfly, sulfur butterfly | yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum | daisy | hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa | gyromitra | stinkhorn, carrion fungus
0061.jpg: earthstar | pinwheel | daisy | hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa | pot, flowerpot | stinkhorn, carrion fungus | sulphur butterfly, sulfur butterfly
3548.jpg: cassette | isopod | book jacket, dust cover, dust jacket, dust wrapper | chocolate sauce, chocolate syrup | scorpion | tick | spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish
1214.jpg: kuvasz | Irish wolfhound | komondor | kelpie | llama | Great Pyrenees | ram, tup
3667.jpg: daisy | yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum | earthstar | sulphur butterfly, sulfur butterfly | lycaenid, lycaenid butterfly | bee | spaghetti squash
0581.jpg: bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis | ram, tup | ox | oxcart | kelpie | gazelle | Siberian husky
2065.jpg: yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum | acorn squash | spaghetti squash | zucchini, courgette | butternut squash | earthstar | daisy
6563.jpg: golf ball | hare | wood rabbit, cottontail, cottontail rabbit | German short-haired pointer | television, television system | daisy | Brittany spaniel
3553.jpg: moped | motor scooter, scooter | ski | plane, carpenter's plane, woodworking plane | disk brake, disc brake | bicycle-built-for-two, tandem bicycle, tandem | iron, smoothing iron
5265.jpg: cheetah, chetah, Acinonyx jubatus | leopard, Panthera pardus | jaguar, panther, Panthera onca, Felis onca | lion, king of beasts, Panthera leo | brown bear, bruin, Ursus arctos | lynx, catamount | beaver
0998.jpg: library | neck brace | Windsor tie | lab coat, laboratory coat | comic book | bookcase | Band Aid
0218.jpg: moped | motor scooter, scooter | tricycle, trike, velocipede | crash helmet | mountain bike, all-terrain bike, off-roader | disk brake, disc brake | neck brace
5315.jpg: sulphur butterfly, sulfur butterfly | earthstar | daisy | hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa | hair slide | bee | face powder
1070.jpg: moped | mountain bike, all-terrain bike, off-roader | motor scooter, scooter | disk brake, disc brake | crash helmet | tricycle, trike, velocipede | bicycle-built-for-two, tandem bicycle, tandem
1817.jpg: harvester, reaper | tow truck, tow car, wrecker | stretcher | thresher, thrasher, threshing machine | moped | bicycle-built-for-two, tandem bicycle, tandem | solar dish, solar collector, solar furnace
6433.jpg: snow leopard, ounce, Panthera uncia | leopard, Panthera pardus | cheetah, chetah, Acinonyx jubatus | jaguar, panther, Panthera onca, Felis onca | Egyptian cat | lynx, catamount | tiger cat
2617.jpg: packet | candle, taper, wax light | menu | matchstick | pillow | lighter, light, igniter, ignitor | pencil box, pencil case
1256.jpg: dome | palace | monastery | bell cote, bell cot | castle | beacon, lighthouse, beacon light, pharos | vault
0596.jpg: trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi | limousine, limo | sports car, sport car | tow truck, tow car, wrecker | worm fence, snake fence, snake-rail fence, Virginia fence | mobile home, manufactured home | passenger car, coach, carriage
0271.jpg: minivan | convertible | beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon | pickup, pickup truck | sports car, sport car | car wheel | cassette player
2176.jpg: meat loaf, meatloaf | chocolate sauce, chocolate syrup | shovel | plate | packet | chambered nautilus, pearly nautilus, nautilus | plastic bag
3306.jpg: cardoon | cabbage butterfly | monarch, monarch butterfly, milkweed butterfly, Danaus plexippus | sulphur butterfly, sulfur butterfly | bee | daisy | pot, flowerpot
4736.jpg: jaguar, panther, Panthera onca, Felis onca | leopard, Panthera pardus | tiger, Panthera tigris | tiger cat | cheetah, chetah, Acinonyx jubatus | snow leopard, ounce, Panthera uncia | Egyptian cat
1982.jpg: airliner | warplane, military plane | space shuttle | projectile, missile | wing | missile | revolver, six-gun, six-shooter
2305.jpg: street sign | trolleybus, trolley coach, trackless trolley | mobile home, manufactured home | limousine, limo | beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon | passenger car, coach, carriage | minivan
2538.jpg: recreational vehicle, RV, R.V. | obelisk | mobile home, manufactured home | street sign | minibus | limousine, limo | minivan
6038.jpg: warplane, military plane | amphibian, amphibious vehicle | airliner | assault rifle, assault gun | tank, army tank, armored combat vehicle, armoured combat vehicle | projectile, missile | thresher, thrasher, threshing machine
3558.jpg: airliner | space shuttle | space bar | screen, CRT screen | revolver, six-gun, six-shooter | moving van | projectile, missile
1492.jpg: sulphur butterfly, sulfur butterfly | daisy | earthstar | ringlet, ringlet butterfly | cabbage butterfly | monarch, monarch butterfly, milkweed butterfly, Danaus plexippus | yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum
2237.jpg: trifle | shovel | chocolate sauce, chocolate syrup | limousine, limo | bakery, bakeshop, bakehouse | snowplow, snowplough | toaster
4989.jpg: Windsor tie | neck brace | lab coat, laboratory coat | wig | suit, suit of clothes | bow tie, bow-tie, bowtie | barbershop
5537.jpg: moped | mountain bike, all-terrain bike, off-roader | tricycle, trike, velocipede | motor scooter, scooter | disk brake, disc brake | doormat, welcome mat | crash helmet
3267.jpg: beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon | street sign | mobile home, manufactured home | passenger car, coach, carriage | minivan | trolleybus, trolley coach, trackless trolley | limousine, limo
5842.jpg: monastery | palace | castle | mosque | church, church building | bell cote, bell cot | prison, prison house
2570.jpg: mobile home, manufactured home | flagpole, flagstaff | patio, terrace | boathouse | picket fence, paling | worm fence, snake fence, snake-rail fence, Virginia fence | swing
5931.jpg: neck brace | Windsor tie | potter's wheel | hand blower, blow dryer, blow drier, hair dryer, hair drier | wig | suit, suit of clothes | beaker
2208.jpg: chocolate sauce, chocolate syrup | plate | French loaf | ear, spike, capitulum | meat loaf, meatloaf | long-horned beetle, longicorn, longicorn beetle | zucchini, courgette
0287.jpg: earthstar | daisy | yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum | sulphur butterfly, sulfur butterfly | ringlet, ringlet butterfly | ant, emmet, pismire | bee
5211.jpg: bakery, bakeshop, bakehouse | candle, taper, wax light | barrow, garden cart, lawn cart, wheelbarrow | carton | toyshop | ambulance | garbage truck, dustcart
6440.jpg: mobile home, manufactured home | flagpole, flagstaff | worm fence, snake fence, snake-rail fence, Virginia fence | boathouse | patio, terrace | prison, prison house | solar dish, solar collector, solar furnace
5935.jpg: rapeseed | vase | earthstar | sulphur butterfly, sulfur butterfly | pot, flowerpot | picket fence, paling | worm fence, snake fence, snake-rail fence, Virginia fence
2245.jpg: electric ray, crampfish, numbfish, torpedo | umbrella | mountain tent | neck brace | killer whale, killer, orca, grampus, sea wolf, Orcinus orca | bikini, two-piece | dugong, Dugong dugon
5703.jpg: airliner | mobile home, manufactured home | moving van | passenger car, coach, carriage | limousine, limo | trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi | space shuttle
1316.jpg: plate | hamper | tray | meat loaf, meatloaf | toaster | mousetrap | chocolate sauce, chocolate syrup
1352.jpg: airliner | wing | space shuttle | bullet train, bullet | moving van | trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi | airship, dirigible
0905.jpg: moped | motor scooter, scooter | thresher, thrasher, threshing machine | sports car, sport car | bicycle-built-for-two, tandem bicycle, tandem | harvester, reaper | Model T
0847.jpg: meat loaf, meatloaf | chocolate sauce, chocolate syrup | ear, spike, capitulum | French loaf | studio couch, day bed | long-horned beetle, longicorn, longicorn beetle | cradle
0922.jpg: airliner | space shuttle | space bar | slide rule, slipstick | typewriter keyboard | trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi | revolver, six-gun, six-shooter
0184.jpg: library | bookcase | bookshop, bookstore, bookstall | comic book | Windsor tie | neck brace | tobacco shop, tobacconist shop, tobacconist
5845.jpg: leopard, Panthera pardus | cheetah, chetah, Acinonyx jubatus | jaguar, panther, Panthera onca, Felis onca | electric ray, crampfish, numbfish, torpedo | chiton, coat-of-mail shell, sea cradle, polyplacophore | hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa | flatworm, platyhelminth
3326.jpg: limousine, limo | beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon | minivan | street sign | convertible | traffic light, traffic signal, stoplight | trolleybus, trolley coach, trackless trolley
4447.jpg: hair slide | vase | daisy | pot, flowerpot | mortar | thimble | perfume, essence
2683.jpg: yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum | ear, spike, capitulum | fig | vase | earthstar | hourglass | mantis, mantid
0517.jpg: motor scooter, scooter | moped | mountain bike, all-terrain bike, off-roader | bicycle-built-for-two, tandem bicycle, tandem | disk brake, disc brake | crash helmet | half track
5799.jpg: sports car, sport car | ski | mousetrap | racer, race car, racing car | motor scooter, scooter | whistle | crash helmet
0887.jpg: sarong | monarch, monarch butterfly, milkweed butterfly, Danaus plexippus | cabbage butterfly | ringlet, ringlet butterfly | chime, bell, gong | worm fence, snake fence, snake-rail fence, Virginia fence | bee
0995.jpg: go-kart | Model T | snowplow, snowplough | tow truck, tow car, wrecker | moped | golfcart, golf cart | sports car, sport car
4591.jpg: meat loaf, meatloaf | chocolate sauce, chocolate syrup | French loaf | bakery, bakeshop, bakehouse | candle, taper, wax light | plate | toaster
2289.jpg: cheetah, chetah, Acinonyx jubatus | leopard, Panthera pardus | hyena, hyaena | jaguar, panther, Panthera onca, Felis onca | mongoose | grey fox, gray fox, Urocyon cinereoargenteus | lion, king of beasts, Panthera leo
5021.jpg: yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum | sulphur butterfly, sulfur butterfly | earthstar | African chameleon, Chamaeleo chamaeleon | frilled lizard, Chlamydosaurus kingi | horned viper, cerastes, sand viper, horned asp, Cerastes cornutus | wood rabbit, cottontail, cottontail rabbit
6313.jpg: boathouse | patio, terrace | mobile home, manufactured home | lakeside, lakeshore | prison, prison house | flagpole, flagstaff | planetarium
5158.jpg: monastery | patio, terrace | mobile home, manufactured home | solar dish, solar collector, solar furnace | palace | worm fence, snake fence, snake-rail fence, Virginia fence | flagpole, flagstaff
5262.jpg: monastery | bell cote, bell cot | palace | church, church building | triumphal arch | castle | vault
3527.jpg: head cabbage | cauliflower | hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa | sulphur butterfly, sulfur butterfly | cucumber, cuke | cabbage butterfly | lacewing, lacewing fly
5234.jpg: leopard, Panthera pardus | jaguar, panther, Panthera onca, Felis onca | cheetah, chetah, Acinonyx jubatus | snow leopard, ounce, Panthera uncia | lynx, catamount | hyena, hyaena | lion, king of beasts, Panthera leo
5838.jpg: plate | switch, electric switch, electrical switch | mortar | iron, smoothing iron | spatula | washbasin, handbasin, washbowl, lavabo, wash-hand basin | Band Aid
0856.jpg: vase | daisy | pot, flowerpot | earthstar | sarong | hair slide | monarch, monarch butterfly, milkweed butterfly, Danaus plexippus
3240.jpg: lab coat, laboratory coat | suit, suit of clothes | Windsor tie | cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM | medicine chest, medicine cabinet | television, television system | barbershop
0919.jpg: palace | bearskin, busby, shako | library | triumphal arch | monastery | obelisk | pedestal, plinth, footstall
6142.jpg: airliner | space shuttle | red-breasted merganser, Mergus serrator | warplane, military plane | trimaran | speedboat | black stork, Ciconia nigra
4854.jpg: trolleybus, trolley coach, trackless trolley | traffic light, traffic signal, stoplight | passenger car, coach, carriage | minivan | sports car, sport car | tow truck, tow car, wrecker | bullet train, bullet
4835.jpg: monastery | mobile home, manufactured home | patio, terrace | palace | lakeside, lakeshore | prison, prison house | thatch, thatched roof
0266.jpg: leopard, Panthera pardus | jaguar, panther, Panthera onca, Felis onca | cheetah, chetah, Acinonyx jubatus | snow leopard, ounce, Panthera uncia | lynx, catamount | tiger cat | Egyptian cat
5532.jpg: notebook, notebook computer | laptop, laptop computer | Windsor tie | suit, suit of clothes | coffee mug | neck brace | lab coat, laboratory coat
1890.jpg: picket fence, paling | pinwheel | daisy | pot, flowerpot | sulphur butterfly, sulfur butterfly | cabbage butterfly | vase
2344.jpg: gar, garfish, garpike, billfish, Lepisosteus osseus | rock python, rock snake, Python sebae | letter opener, paper knife, paperknife | tobacco shop, tobacconist shop, tobacconist | ocarina, sweet potato | whistle | barracouta, snoek
5736.jpg: space shuttle | projectile, missile | warplane, military plane | airliner | mobile home, manufactured home | missile | speedboat
2035.jpg: motor scooter, scooter | moped | crash helmet | disk brake, disc brake | bicycle-built-for-two, tandem bicycle, tandem | tricycle, trike, velocipede | snowmobile
1563.jpg: daisy | sea anemone, anemone | sunscreen, sunblock, sun blocker | earthstar | book jacket, dust cover, dust jacket, dust wrapper | pickelhaube | vase
6747.jpg: pot, flowerpot | vase | tray | binder, ring-binder | perfume, essence | fire screen, fireguard | hair slide
6782.jpg: jaguar, panther, Panthera onca, Felis onca | leopard, Panthera pardus | cheetah, chetah, Acinonyx jubatus | lynx, catamount | snow leopard, ounce, Panthera uncia | tiger, Panthera tigris | tiger cat
4532.jpg: chocolate sauce, chocolate syrup | plate | ice cream, icecream | bakery, bakeshop, bakehouse | French loaf | meat loaf, meatloaf | face powder
1097.jpg: lakeside, lakeshore | palace | pole | mobile home, manufactured home | flagpole, flagstaff | monastery | street sign
2179.jpg: planetarium | moving van | minivan | passenger car, coach, carriage | sports car, sport car | dome | cab, hack, taxi, taxicab
3765.jpg: plate | chow, chow chow | rotisserie | beaver | neck brace | isopod | electric ray, crampfish, numbfish, torpedo
3357.jpg: moped | motor scooter, scooter | disk brake, disc brake | mountain bike, all-terrain bike, off-roader | tricycle, trike, velocipede | crash helmet | bicycle-built-for-two, tandem bicycle, tandem
2304.jpg: promontory, headland, head, foreland | megalith, megalithic structure | beacon, lighthouse, beacon light, pharos | seashore, coast, seacoast, sea-coast | cliff, drop, drop-off | castle | alp
0358.jpg: head cabbage | brassiere, bra, bandeau | nematode, nematode worm, roundworm | chocolate sauce, chocolate syrup | gown | hoopskirt, crinoline | wool, woolen, woollen
4575.jpg: chocolate sauce, chocolate syrup | ice cream, icecream | candle, taper, wax light | bakery, bakeshop, bakehouse | French loaf | eggnog | honeycomb
1921.jpg: moped | motor scooter, scooter | mountain bike, all-terrain bike, off-roader | crash helmet | bicycle-built-for-two, tandem bicycle, tandem | tricycle, trike, velocipede | jinrikisha, ricksha, rickshaw
0636.jpg: monastery | mobile home, manufactured home | patio, terrace | flagpole, flagstaff | palace | mosque | worm fence, snake fence, snake-rail fence, Virginia fence
2185.jpg: buckeye, horse chestnut, conker | stinkhorn, carrion fungus | earthstar | sulphur butterfly, sulfur butterfly | cardoon | coral fungus | hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa
1474.jpg: thresher, thrasher, threshing machine | sports car, sport car | moped | racer, race car, racing car | mousetrap | jinrikisha, ricksha, rickshaw | waffle iron
0876.jpg: airliner | wing | space shuttle | trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi | catamaran | moving van | warplane, military plane
1231.jpg: cheetah, chetah, Acinonyx jubatus | leopard, Panthera pardus | jaguar, panther, Panthera onca, Felis onca | gazelle | zebra | lion, king of beasts, Panthera leo | dhole, Cuon alpinus
6414.jpg: chocolate sauce, chocolate syrup | plate | ice cream, icecream | consomme | meat loaf, meatloaf | mashed potato | spatula
6439.jpg: street sign | traffic light, traffic signal, stoplight | minivan | mobile home, manufactured home | shopping cart | plastic bag | cab, hack, taxi, taxicab
4432.jpg: flagpole, flagstaff | patio, terrace | mobile home, manufactured home | pole | prison, prison house | lawn mower, mower | sliding door
2970.jpg: airliner | space shuttle | airship, dirigible | yawl | wing | trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi | speedboat
0121.jpg: leopard, Panthera pardus | cheetah, chetah, Acinonyx jubatus | jaguar, panther, Panthera onca, Felis onca | snow leopard, ounce, Panthera uncia | lynx, catamount | Egyptian cat | Indian cobra, Naja naja
2266.jpg: trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi | traffic light, traffic signal, stoplight | mobile home, manufactured home | tow truck, tow car, wrecker | minivan | limousine, limo | trolleybus, trolley coach, trackless trolley
0763.jpg: daisy | earthstar | bee | black grouse | knot | parallel bars, bars | ant, emmet, pismire
0353.jpg: airliner | space shuttle | airship, dirigible | trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi | moving van | speedboat | book jacket, dust cover, dust jacket, dust wrapper
2513.jpg: hog, pig, grunter, squealer, Sus scrofa | ox | ram, tup | Weimaraner | Ibizan hound, Ibizan Podenco | oxcart | wild boar, boar, Sus scrofa
4545.jpg: monastery | restaurant, eating house, eating place, eatery | patio, terrace | palace | church, church building | castle | solar dish, solar collector, solar furnace
4347.jpg: moped | motor scooter, scooter | tricycle, trike, velocipede | half track | disk brake, disc brake | plane, carpenter's plane, woodworking plane | neck brace
5833.jpg: palace | castle | monastery | pedestal, plinth, footstall | bell cote, bell cot | triumphal arch | mosque
3471.jpg: pole | flagpole, flagstaff | street sign | monastery | palace | lakeside, lakeshore | horizontal bar, high bar
1523.jpg: hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa | earthstar | coral fungus | bee | chime, bell, gong | coral reef | sea anemone, anemone
0971.jpg: ox | American black bear, black bear, Ursus americanus, Euarctos americanus | curly-coated retriever | Bouvier des Flandres, Bouviers des Flandres | llama | bow | Old English sheepdog, bobtail
2227.jpg: minivan | beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon | moving van | minibus | street sign | traffic light, traffic signal, stoplight | cab, hack, taxi, taxicab
4931.jpg: chiton, coat-of-mail shell, sea cradle, polyplacophore | cliff, drop, drop-off | stone wall | rock crab, Cancer irroratus | hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa | coral reef | tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui
2967.jpg: earthstar | stinkhorn, carrion fungus | barn spider, Araneus cavaticus | daisy | yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum | pot, flowerpot | hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa
4598.jpg: moped | tricycle, trike, velocipede | motor scooter, scooter | bicycle-built-for-two, tandem bicycle, tandem | jinrikisha, ricksha, rickshaw | neck brace | disk brake, disc brake
3440.jpg: neck brace | academic gown, academic robe, judge's robe | wig | Windsor tie | stole | mortarboard | flute, transverse flute
6367.jpg: mouse, computer mouse | plate | cleaver, meat cleaver, chopper | butternut squash | hair slide | plane, carpenter's plane, woodworking plane | spaghetti squash
2274.jpg: airliner | wing | bullet train, bullet | space shuttle | warplane, military plane | trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi | mobile home, manufactured home
1736.jpg: ram, tup | curly-coated retriever | llama | bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis | Arabian camel, dromedary, Camelus dromedarius | ox | kelpie
3210.jpg: motor scooter, scooter | moped | quill, quill pen | tricycle, trike, velocipede | skunk, polecat, wood pussy | sports car, sport car | golfcart, golf cart
3780.jpg: rapeseed | yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum | daisy | sulphur butterfly, sulfur butterfly | earthstar | monarch, monarch butterfly, milkweed butterfly, Danaus plexippus | greenhouse, nursery, glasshouse
6145.jpg: sulphur butterfly, sulfur butterfly | yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum | earthstar | plastic bag | pinwheel | rapeseed | monarch, monarch butterfly, milkweed butterfly, Danaus plexippus
4786.jpg: airliner | space shuttle | warplane, military plane | wing | projectile, missile | airship, dirigible | missile
5382.jpg: cardoon | ear, spike, capitulum | European gallinule, Porphyrio porphyrio | daisy | yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum | wood rabbit, cottontail, cottontail rabbit | pinwheel
1812.jpg: minivan | street sign | traffic light, traffic signal, stoplight | passenger car, coach, carriage | beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon | moving van | mobile home, manufactured home
6488.jpg: sulphur butterfly, sulfur butterfly | earthstar | rapeseed | hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa | yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum | daisy | ringlet, ringlet butterfly
5415.jpg: mobile home, manufactured home | lakeside, lakeshore | patio, terrace | solar dish, solar collector, solar furnace | boathouse | monastery | alp
4344.jpg: plane, carpenter's plane, woodworking plane | moped | reel | stethoscope | motor scooter, scooter | safety pin | bicycle-built-for-two, tandem bicycle, tandem
6432.jpg: half track | moped | tricycle, trike, velocipede | motor scooter, scooter | sax, saxophone | can opener, tin opener | mountain bike, all-terrain bike, off-roader
3819.jpg: jaguar, panther, Panthera onca, Felis onca | leopard, Panthera pardus | cheetah, chetah, Acinonyx jubatus | lynx, catamount | tiger, Panthera tigris | tiger cat | snow leopard, ounce, Panthera uncia
2112.jpg: library | bookshop, bookstore, bookstall | bookcase | comic book | bullet train, bullet | turnstile | prison, prison house
6571.jpg: jinrikisha, ricksha, rickshaw | moped | tricycle, trike, velocipede | motor scooter, scooter | bicycle-built-for-two, tandem bicycle, tandem | Model T | horse cart, horse-cart
2673.jpg: daisy | earthstar | hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa | stinkhorn, carrion fungus | sulphur butterfly, sulfur butterfly | hair slide | golf ball
3940.jpg: daisy | binder, ring-binder | earthstar | lotion | soap dispenser | golf ball | sunscreen, sunblock, sun blocker
6706.jpg: moped | half track | motor scooter, scooter | sidewinder, horned rattlesnake, Crotalus cerastes | beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon | Model T | convertible
3248.jpg: chocolate sauce, chocolate syrup | plate | trifle | ice cream, icecream | face powder | Petri dish | chambered nautilus, pearly nautilus, nautilus
0454.jpg: plate | candle, taper, wax light | consomme | potpie | stove | toy terrier | spaghetti squash
4497.jpg: earthstar | hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa | gyromitra | stinkhorn, carrion fungus | coral fungus | bolete | sulphur butterfly, sulfur butterfly
0249.jpg: motor scooter, scooter | sports car, sport car | racer, race car, racing car | moped | snowmobile | bobsled, bobsleigh, bob | web site, website, internet site, site
2231.jpg: yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum | spaghetti squash | daisy | sulphur butterfly, sulfur butterfly | acorn squash | zucchini, courgette | earthstar
5086.jpg: moped | tricycle, trike, velocipede | jinrikisha, ricksha, rickshaw | motor scooter, scooter | crash helmet | bicycle-built-for-two, tandem bicycle, tandem | mountain bike, all-terrain bike, off-roader
6769.jpg: pot, flowerpot | greenhouse, nursery, glasshouse | head cabbage | cauliflower | barrow, garden cart, lawn cart, wheelbarrow | hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa | daisy
6779.jpg: yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum | earthstar | rock beauty, Holocanthus tricolor | ear, spike, capitulum | cardoon | sulphur butterfly, sulfur butterfly | artichoke, globe artichoke
1956.jpg: jaguar, panther, Panthera onca, Felis onca | leopard, Panthera pardus | tiger, Panthera tigris | cheetah, chetah, Acinonyx jubatus | tiger cat | snow leopard, ounce, Panthera uncia | Egyptian cat
3258.jpg: traffic light, traffic signal, stoplight | minivan | trolleybus, trolley coach, trackless trolley | street sign | limousine, limo | tow truck, tow car, wrecker | mobile home, manufactured home
3817.jpg: airliner | screen, CRT screen | hand-held computer, hand-held microcomputer | revolver, six-gun, six-shooter | web site, website, internet site, site | space bar | projectile, missile
4207.jpg: moped | mountain bike, all-terrain bike, off-roader | motor scooter, scooter | disk brake, disc brake | tricycle, trike, velocipede | crash helmet | bicycle-built-for-two, tandem bicycle, tandem
2975.jpg: traffic light, traffic signal, stoplight | minivan | cab, hack, taxi, taxicab | beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon | trolleybus, trolley coach, trackless trolley | street sign | tow truck, tow car, wrecker
3285.jpg: gazelle | English foxhound | wire-haired fox terrier | Ibizan hound, Ibizan Podenco | hog, pig, grunter, squealer, Sus scrofa | web site, website, internet site, site | papillon
6346.jpg: airliner | trimaran | warplane, military plane | speedboat | steel arch bridge | bow | projectile, missile
1533.jpg: llama | ram, tup | komondor | ox | bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis | ibex, Capra ibex | kuvasz
5383.jpg: airliner | letter opener, paper knife, paperknife | solar dish, solar collector, solar furnace | hook, claw | wing | space shuttle | projectile, missile
6566.jpg: airliner | space shuttle | warplane, military plane | wing | projectile, missile | assault rifle, assault gun | guillotine
1660.jpg: lakeside, lakeshore | worm fence, snake fence, snake-rail fence, Virginia fence | patio, terrace | thatch, thatched roof | boathouse | mobile home, manufactured home | stone wall
4091.jpg: wing | warplane, military plane | thresher, thrasher, threshing machine | airliner | oxcart | amphibian, amphibious vehicle | projectile, missile
1199.jpg: monastery | palace | castle | bell cote, bell cot | prison, prison house | gondola | analog clock
2589.jpg: pick, plectrum, plectron | axolotl, mud puppy, Ambystoma mexicanum | plate | consomme | hourglass | tick | book jacket, dust cover, dust jacket, dust wrapper
2592.jpg: pot, flowerpot | greenhouse, nursery, glasshouse | marmot | hip, rose hip, rosehip | Brittany spaniel | Kerry blue terrier | ptarmigan
4788.jpg: African chameleon, Chamaeleo chamaeleon | sombrero | vase | abaya | fire screen, fireguard | indri, indris, Indri indri, Indri brevicaudatus | earthstar
3653.jpg: yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum | daisy | rapeseed | sulphur butterfly, sulfur butterfly | earthstar | cabbage butterfly | monarch, monarch butterfly, milkweed butterfly, Danaus plexippus
3798.jpg: strawberry | golf ball | yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum | cardoon | croquet ball | stinkhorn, carrion fungus | Indian cobra, Naja naja
3268.jpg: neck brace | wig | Windsor tie | stole | wool, woolen, woollen | toy poodle | academic gown, academic robe, judge's robe
5179.jpg: bannister, banister, balustrade, balusters, handrail | window screen | mobile home, manufactured home | flagpole, flagstaff | planetarium | greenhouse, nursery, glasshouse | patio, terrace
5926.jpg: harvestman, daddy longlegs, Phalangium opilio | ringlet, ringlet butterfly | sulphur butterfly, sulfur butterfly | cardoon | custard apple | African chameleon, Chamaeleo chamaeleon | bee
1182.jpg: airliner | space shuttle | warplane, military plane | wing | projectile, missile | missile | solar dish, solar collector, solar furnace
4960.jpg: hand blower, blow dryer, blow drier, hair dryer, hair drier | bathtub, bathing tub, bath, tub | brassiere, bra, bandeau | tub, vat | stethoscope | hair slide | diaper, nappy, napkin
